[2021-11-14 19:23:15,329]: 127.0.0.1:9990 "DELETE HTTP/1.1 dhruv.png"401 Unauthorised 
[2021-11-14 19:23:15,335]: 127.0.0.1:9990 "PUT /testing.txt HTTP/1.1"201 created */* 
[2021-11-14 19:23:15,337]: 127.0.0.1:9990 "PUT HTTP/1.1 testing.txt"201 created 
[2021-11-14 19:23:15,339]: 127.0.0.1:9990 "COPY /arya.txt HTTP/1.1"405 Method Not Allowed PostmanRuntime/7.28.4
[2021-11-14 19:23:15,341]: 127.0.0.1:9990 "COPY HTTP/1.1 arya.txt"405 Method Not Allowed 
[2021-11-14 19:23:15,342]: 127.0.0.1:9990 "GET /s.txt HTTP/2.0"505 Version Not Supported PostmanRuntime/7.28.4 
[2021-11-14 19:23:15,343]: 127.0.0.1:9990 "GET HTTP/2.0 s.txt"505 Version Not Supported 
[2021-11-14 19:23:15,344]: 127.0.0.1:9990 "POST /testing1(4).txt HTTP/1.1"200 OK */* 
[2021-11-14 19:23:15,345]: 127.0.0.1:9990 "POST HTTP/1.1 testing1(4).txt"200 OK 
[2021-11-14 19:24:35,711]: 127.0.0.1:9990 "HEAD /sahil.mp3 HTTP/1.1"200 OK PostmanRuntime/7.28.4 
[2021-11-14 19:24:35,712]: 127.0.0.1:9990 "HEAD HTTP/1.1 sahil.mp3"200 OK 
[2021-11-14 19:24:35,712]: 127.0.0.1:9990 "GET /s.txt HTTP/1.1"200 OK PostmanRuntime/7.28.4 
[2021-11-14 19:24:35,712]: 127.0.0.1:9990 "GET HTTP/1.1 s.txt"200 OK 
[2021-11-14 19:24:35,713]: 127.0.0.1:9990 "DELETE HTTP/1.1 create.txt"404 Not Found 
[2021-11-14 19:24:35,713]: 127.0.0.1:9990 "DELETE /create.txt HTTP/1.1"404 Not Found PostmanRuntime/7.28.4 
[2021-11-14 19:24:35,714]: 127.0.0.1:9990 "DELETE /dhruv.png HTTP/1.1"401 Unauthorised PostmanRuntime/7.28.4
[2021-11-14 19:24:35,714]: 127.0.0.1:9990 "DELETE HTTP/1.1 dhruv.png"401 Unauthorised 
[2021-11-14 19:24:35,714]: 127.0.0.1:9990 "PUT /testing.txt HTTP/1.1"201 created */* 
[2021-11-14 19:24:35,714]: 127.0.0.1:9990 "PUT HTTP/1.1 testing.txt"201 created 
[2021-11-14 19:24:35,716]: 127.0.0.1:9990 "COPY /arya.txt HTTP/1.1"405 Method Not Allowed PostmanRuntime/7.28.4
[2021-11-14 19:24:35,716]: 127.0.0.1:9990 "GET /s.txt HTTP/2.0"505 Version Not Supported PostmanRuntime/7.28.4 
[2021-11-14 19:24:35,716]: 127.0.0.1:9990 "COPY HTTP/1.1 arya.txt"405 Method Not Allowed 
[2021-11-14 19:24:35,716]: 127.0.0.1:9990 "GET HTTP/2.0 s.txt"505 Version Not Supported 
[2021-11-14 19:24:35,717]: 127.0.0.1:9990 "POST /testing1(5).txt HTTP/1.1"200 OK */* 
[2021-11-14 19:24:35,717]: 127.0.0.1:9990 "POST HTTP/1.1 testing1(5).txt"200 OK 
[2021-11-14 19:27:07,151]: 127.0.0.1:9999 "GET /s.txt HTTP/1.1"200 OK PostmanRuntime/7.28.4 
[2021-11-14 19:27:07,152]: 127.0.0.1:9999 "GET HTTP/1.1 s.txt"200 OK 
[2021-11-14 19:27:07,153]: 127.0.0.1:9999 "PUT /testing.txt HTTP/1.1"201 created */* 
[2021-11-14 19:27:07,153]: 127.0.0.1:9999 "HEAD /sahil.mp3 HTTP/1.1"200 OK PostmanRuntime/7.28.4 
[2021-11-14 19:27:07,153]: 127.0.0.1:9999 "HEAD HTTP/1.1 sahil.mp3"200 OK 
[2021-11-14 19:27:07,153]: 127.0.0.1:9999 "DELETE HTTP/1.1 create.txt"404 Not Found 
[2021-11-14 19:27:07,153]: 127.0.0.1:9999 "DELETE /dhruv.png HTTP/1.1"401 Unauthorised PostmanRuntime/7.28.4
[2021-11-14 19:27:07,153]: 127.0.0.1:9999 "PUT HTTP/1.1 testing.txt"201 created 
[2021-11-14 19:27:07,153]: 127.0.0.1:9999 "DELETE /create.txt HTTP/1.1"404 Not Found PostmanRuntime/7.28.4 
[2021-11-14 19:27:07,154]: 127.0.0.1:9999 "DELETE HTTP/1.1 dhruv.png"401 Unauthorised 
[2021-11-14 19:27:07,155]: 127.0.0.1:9999 "COPY /arya.txt HTTP/1.1"405 Method Not Allowed PostmanRuntime/7.28.4
[2021-11-14 19:27:07,155]: 127.0.0.1:9999 "COPY HTTP/1.1 arya.txt"405 Method Not Allowed 
[2021-11-14 19:27:07,156]: 127.0.0.1:9999 "GET /s.txt HTTP/2.0"505 Version Not Supported PostmanRuntime/7.28.4 
[2021-11-14 19:27:07,156]: 127.0.0.1:9999 "GET HTTP/2.0 s.txt"505 Version Not Supported 
[2021-11-14 19:27:07,157]: 127.0.0.1:9999 "POST /testing1(6).txt HTTP/1.1"200 OK */* 
[2021-11-14 19:27:07,157]: 127.0.0.1:9999 "POST HTTP/1.1 testing1(6).txt"200 OK 
[2021-11-14 19:29:30,836]: 127.0.0.1:9990 "GET /s.txt HTTP/1.1"200 OK PostmanRuntime/7.28.4 
[2021-11-14 19:29:30,837]: 127.0.0.1:9990 "GET HTTP/1.1 s.txt"200 OK 
[2021-11-14 19:29:30,838]: 127.0.0.1:9990 "DELETE HTTP/1.1 create.txt"404 Not Found 
[2021-11-14 19:29:30,838]: 127.0.0.1:9990 "HEAD /sahil.mp3 HTTP/1.1"200 OK PostmanRuntime/7.28.4 
[2021-11-14 19:29:30,840]: 127.0.0.1:9990 "HEAD HTTP/1.1 sahil.mp3"200 OK 
[2021-11-14 19:29:30,841]: 127.0.0.1:9990 "DELETE /dhruv.png HTTP/1.1"401 Unauthorised PostmanRuntime/7.28.4
[2021-11-14 19:29:30,843]: 127.0.0.1:9990 "PUT /testing3.txt HTTP/1.1"201 created */* 
[2021-11-14 19:29:30,850]: 127.0.0.1:9990 "PUT HTTP/1.1 testing3.txt"201 created 
[2021-11-14 19:29:30,845]: 127.0.0.1:9990 "DELETE HTTP/1.1 dhruv.png"401 Unauthorised 
[2021-11-14 19:29:30,839]: 127.0.0.1:9990 "DELETE /create.txt HTTP/1.1"404 Not Found PostmanRuntime/7.28.4 
[2021-11-14 19:29:30,853]: 127.0.0.1:9990 "COPY /arya.txt HTTP/1.1"405 Method Not Allowed PostmanRuntime/7.28.4
[2021-11-14 19:29:30,854]: 127.0.0.1:9990 "COPY HTTP/1.1 arya.txt"405 Method Not Allowed 
[2021-11-14 19:29:30,854]: 127.0.0.1:9990 "POST /testing4.txt HTTP/1.1"201 created */* 
[2021-11-14 19:29:30,854]: 127.0.0.1:9990 "POST HTTP/1.1 testing4.txt"201 created 
[2021-11-14 19:29:30,854]: 127.0.0.1:9990 "GET /s.txt HTTP/2.0"505 Version Not Supported PostmanRuntime/7.28.4 
[2021-11-14 19:29:30,854]: 127.0.0.1:9990 "GET HTTP/2.0 s.txt"505 Version Not Supported 
[2021-11-15 23:57:37,223]: 127.0.0.1:8888 "GET /s.txt HTTP/1.1"200 OK Self_Testing 
[2021-11-15 23:57:37,223]: 127.0.0.1:8888 "GET HTTP/1.1 s.txt"200 OK 
[2021-11-15 23:57:37,223]: 127.0.0.1:8888 "HEAD /sahil.mp3 HTTP/1.1"200 OK Self_Testing 
[2021-11-15 23:57:37,224]: 127.0.0.1:8888 "HEAD HTTP/1.1 sahil.mp3"200 OK 
[2021-11-15 23:57:37,225]: 127.0.0.1:8888 "DELETE HTTP/1.1 create.txt"404 Not Found 
[2021-11-15 23:57:37,225]: 127.0.0.1:8888 "DELETE /create.txt HTTP/1.1"404 Not Found Self_Testing 
